address,latitude,longitude,visit_count,type
Tolhurst / Fleury,45.544149,-73.66752,557,low
Métro de la Concorde (Léo-Lacombe),45.5604899,-73.7091851,143,low
Parc Lacharité (Latour / Forget),45.4177375,-73.6233855,150,low
Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),45.5794057,-73.6025888,195,low
St-Charles / Montarville,45.533682,-73.515261,96,low
Parc Wilfrid-Bastien (Lacordaire / des Galets),45.5864002,-73.5952181,136,low
Laird / Glencoe,45.5061916,-73.642308,317,low
Gloria / Dollard,45.429711,-73.6338834,221,low
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534001,-73.6622545,592,low
Pratt / Bates,45.5169478,-73.6263156,695,low
Victoria / 18e avenue Lachine,45.435996,-73.680111,145,low
5e avenue / Rosemont,45.5499,-73.583084,755,low
Métro Longueuil - Université de Sherbrooke,45.523319,-73.520127,532,low
Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),45.5068242,-73.681848,168,low
Henri-Julien / de Bellechasse,45.5295036,-73.6048646,923,low
de la Peltrie / de la Côte-des-Neiges,45.4997974,-73.6301753,151,low
Ste-Claire / Pierre-Tétreault,45.6019133,-73.5244185,185,low
Parc de Beauséjour (Gouin / Henri-d'Arles),45.526765,-73.730423,114,low
de Côme / Jean-Talon,45.588303,-73.5778372,232,low
Ouimet / Goineau,45.5750482,-73.6879957,83,low
de Grosbois / Duchesneau,45.6112307,-73.5312416,274,low
Metcalfe / St-Catherine,45.500832,-73.572459,862,low
Crescent / de Maisonneuve N/E,45.4981204,-73.5775959,342,low
de Mentana / Gilford,45.528724,-73.583859,219,low
Pierre-de-Coubertin / Langelier,45.580315,-73.535314,292,low
Stanley / Sherbrooke,45.501041,-73.577178,199,low
Notre-Dame / Gauvin,45.500105,-73.560199,193,low
Ateliers municipaux de St-Laurent (Cavendish / Poirier),45.5061758,-73.7111861,116,low
Gare Lachine (Sir George Simpson / 48e avenue),45.4478213,-73.7109178,31,low
du Souvenir / Chomedey,45.551886,-73.74444,44,low
Ste-Catherine / Drummond S/E,45.4986699,-73.5742392,94,low
Parc Aimé-Léonard (Gouin / Ste-Gertrude),45.6083582,-73.6385062,143,low
St-Germain / Hochelaga,45.543699,-73.553673,593,low
41e avenue / Victoria,45.440347,-73.7023133,45,low
Gare du Ruisseau (Dutrisac / Henri-Bourassa),45.5281437,-73.6925454,47,low
St-Sylvestre / St-Charles,45.5363238,-73.5122496,121,low
Laforest / Dudemaine,45.539806,-73.687266,208,low
O'Brien / Poirier,45.52246,-73.691564,201,low
Hamel / Sauvé,45.560762,-73.650561,264,low
Métro St-Laurent dépôt 2 (de Maisonneuve / St-Laurent),45.5107097,-73.5653543,138,low
Parc Delorme (Malouin / Laferté),45.5904902,-73.5902694,123,low
90e Avenue / Boulevard Lévesque O,45.5312146,-73.747353,68,low
Saint-Denis/de Maisonneuve,45.5144049,-73.5618111,199,low
Souligny / Desmarteau,45.6046208,-73.5159963,213,low
St-Viateur / Casgrain,45.5271166,-73.5977359,403,low
Square Nelligan (des Appalaches / Alexis-Nihon),45.5143182,-73.7079982,104,low
Parc Loyola (Doherty / Somerled),45.4597611,-73.6447746,209,low
Monk / Biencourt,45.4586632,-73.5960227,420,low
du Square Dorchester / Peel,45.4996996,-73.5719365,36,low
Place du Village (St-Jean-Baptiste / Notre-Dame),45.6400029,-73.490113,67,low
Parc Charleroi (Alfred / Louis-Francoeur),45.5995347,-73.6236025,58,low
Gordon / Wellington,45.461078,-73.567307,241,low
Parc Kirkland (des Érables / Boyer),45.4460609,-73.6507995,285,low
Parc Stoney-Point (St-Joseph / 47e avenue),45.4365683,-73.7083697,133,low
Mexico / Valois,45.5847051,-73.7192541,23,low
Notre-Dame-de-Grâce / Décarie,45.477353,-73.615372,216,low
Métro Angrignon (Lamont /  des Trinitaires),45.44691,-73.60363,445,low
St-Christophe / René-Lévesque,45.5149464,-73.5562329,278,low
Keller / Cousineau,45.5235502,-73.7138857,149,low
Louisbourg / O'Brien,45.5303945,-73.7039322,226,low
Bélanger / St-Laurent,45.5331335,-73.6147285,408,low
de Mentana / Laurier,45.53045,-73.587638,994,low
Jean-Paul-Vincent / Adoncour,45.5646764,-73.4795775,22,low
Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,920,low
Parc Chopin (Dumouchel / Tessier),45.5707266,-73.737086,33,low
Saint-Rémi / Valois,45.5839618,-73.7208259,30,low
Hôpital Sacré-Coeur (Forbes),45.5319436,-73.7136054,150,low
41e avenue / Rosemont,45.57179,-73.564315,434,low
Legrand / Cartier,45.552298,-73.7073827,137,low
de Chenonceau / Chomedey,45.56157,-73.75448,46,low
Champdoré / de Lorimier,45.5668693,-73.6410168,242,low
Quai Yvon-Julien (Marie-Victorin / de Montarville),45.606718,-73.4569203,83,low
Jardin Botanique (Pie-IX / Sherbrooke),45.554947,-73.555295,480,low
Parc St-Sacrement (des Seigneurs / St-Sacrement),45.7023493,-73.639578,19,low
Parc des Hirondelles (Fleury / André-Jobin),45.5760003,-73.6467648,310,low
Parc du Pélican (Molson / Masson),45.5440891,-73.5770595,47,low
Logan / d'Iberville,45.53057,-73.54913,524,low
des Ormeaux / Notre-Dame,45.5992655,-73.5122607,187,low
Chabot / Laurier,45.5368558,-73.5793731,321,low
Letourneux / Hochelaga,45.5546589,-73.546603,761,low
Jeanne-Mance / St-Martin O,45.5574215,-73.7480604,43,low
